Fiscal Year,Related Govt Units,Organization Group Code,Organization Group,Department Code,Department,Program Code,Program,Character Code,Character,Object Code,Object,Sub-object Code,Sub-object,Fund Type Code,Fund Type,Fund Code,Fund,Fund Category Code,Fund Category,Purchase Order,Supplier & Other Non-Supplier Payees,Vouchers Paid,Vouchers Pending,Encumbrance Balance,Vouchers Pending Retainage,data_as_of,data_loaded_at,Non-Profit Indicator,Contract Number,Contract Title,Purchase Order Date,Purchasing Authority Description
2007,No,4,Community Health,DPH,DPH Public Health,D1H,SFGH - Acute Care - Hospital,540,Materials & Supplies,544,Hospital;Clinic & Lab Supplies,544410,Medical Supplies,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1.0,Operating,Direct Payments,SANOFI PASTEUR INC,253.14,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",AIR,AIR Airport Commission,BG6,Facilities,540,Materials & Supplies,549,Other Materials & Supplies,549750,Books - Non Library Only,5A,SF International Airport Funds,5AAAA,Airport Operating Fund,2.0,Annual Projects,Direct Payments,AMER ASSN OF STATE HGHWY & TRNSPRTN OFCL,60.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,6,General Administration & Finance,MYR,MYR Mayor,FAB,Community Investment,539,Other Support&Care Of Persons,539,Oth Support & Care of Persons,539200,Loans Issued By City,2S,Special Revenue Funds,2SCDB,Community Development Fund,4.0,Grants,ENMO0600000501,WELLS FARGO BANK N A,32741.27,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,1,Public Protection,JUV,JUV Juvenile Probation,AKC,Probation Services,521,Non Personnel Services,527,Profess & Specialized Svcs,527890,Other Medical Services,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPJV0700075301,PATRICIA WEISS PHD,800.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,4,Community Health,DPH,DPH Public Health,DA5,Laguna Honda - Long Term Care,540,Materials & Supplies,549,Other Materials & Supplies,549990,Other Materials & Supplies,5L,Laguna Honda Hospital Funds,5LAAA,Laguna Honda Operating Fund,1.0,Operating,DPHL0700055301,ALLIANT FOODSERVICE INC DBA US FOODSERVI,184.43,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,Yes,1,Public Protection,CRT,CRT Superior Court,AMT,Trial Court Services,521,Non Personnel Services,526,Court Fees & Oth Compensation,526610,Interpreters,7A,Agency Funds,7ACRT,Trial Courts Agency Fund,4.0,Grants,Direct Payments,AMANDA CHEN,265.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BEK,MRD-Construction Division (Const),521,Non Personnel Services,527,Profess & Specialized Svcs,527040,Construction Contracts,5M,MTA Municipal Railway Funds,5MCPF,Muni Capital Projects Fund,3.0,Continuing Projects,ENPT0300003201,CITY NATIONAL BANK,6206.82,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,3,Human Welfare & Neighborhood Development,DSS,HSA Human Services Agency,CAL,Family And Children's Service,538,City Grant Programs,538,City Grant Programs,538010,Community Based Org Srvcs,1G,General Fund,1GAGF,General Fund,1.0,Operating,POSS0600001102,SAN FRANCISCO STATE UNIVERSITY,2439.4,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",HHP,HHP Hetch Hetchy Water & Power,BDK,Water Transmission/ Distribution,540,Materials & Supplies,542,Building & Constructn Supplies,542980,Other Construction Materials,5T,PUC Hetch Hetchy Funds,5TAAA,Hetch Hetchy Operating Fund,1.0,Operating,DPUH0700123201,ANDYS HOME CENTER,145.17,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,6,General Administration & Finance,TIS,DT GSA - Technology,BTO,Technology Services:Public Safety,540,Materials & Supplies,543,Equipment Maintenance Supplies,543410,Communication Supplies,6I,Internal Service Funds,6ITIF,Telecomm. & Information Svcs Fund,1.0,Operating,DPTI0700037301,APCO AUTOMATED FREQUENCY COORDINATION,2800.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BEK,MRD-Construction Division (Const),521,Non Personnel Services,527,Profess & Specialized Svcs,527040,Construction Contracts,5M,MTA Municipal Railway Funds,5MCPF,Muni Capital Projects Fund,3.0,Continuing Projects,ENPT0700000701,NEXT BUS INFORMATION SYSTEM LLC,717398.4,199820.59,,5761427.46,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,1,Public Protection,JUV,JUV Juvenile Probation,AKF,Log Cabin Ranch,521,Non Personnel Services,535,Other Current Expenses,535610,Postage,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPJV0700004201,POSTMASTER,595.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BEN,Rail & Bus Services,540,Materials & Supplies,542,Building & Constructn Supplies,542810,Small Tools And Intruments,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1.0,Operating,DPPT0700064301,S & S SUPPLIES & SOLUTIONS,2069.44,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,4,Community Health,DPH,DPH Public Health,D1H,SFGH - Acute Care - Hospital,540,Materials & Supplies,549,Other Materials & Supplies,549750,Books - Non Library Only,5H,General Hospital Medical Center Funds,5HAAA,General Hopsital Operating Fund,1.0,Operating,DPHG0700087501,JOINT COMMISSION,428.83,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,4,Community Health,DPH,DPH Public Health,DPE,Emergency Services Agency,540,Materials & Supplies,545,Safety,545310,Uniforms,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPHC0700038701,GALLS/LONG BEACH UNIFORM,1939.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,BCI,Water Capital Projects,540,Materials & Supplies,542,Building & Constructn Supplies,542610,Plumbing Supplies,5W,PUC Water Department Funds,5WCPF,Water Capital Projects Fund,3.0,Continuing Projects,DPUW0700107101,GROENIGER & COMPANY,48056.78,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,5,Culture & Recreation,REC,REC Recreation & Park Commsn,ECQ,Citywide Services,540,Materials & Supplies,549,Other Materials & Supplies,549610,Recreation & Athletic Supplies,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPRP0700221901,DRUMMER TRADING CO,840.55,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",WTR,WTR Water Enterprise,BDA,Administration,521,Non Personnel Services,522,Training,522020,Training Costs Paid To Vendors,5W,PUC Water Department Funds,5WAAA,Water Operating Fund,1.0,Operating,Direct Payments,CALIFORNIA URBAN WATER CONSERVATION CNCL,190.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,1,Public Protection,CRT,CRT Superior Court,AML,Indigent Defense/Grand Jury,540,Materials & Supplies,549,Other Materials & Supplies,549510,Other Office Supplies,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,CENVEO,107.56,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BEN,Rail & Bus Services,540,Materials & Supplies,549,Other Materials & Supplies,549990,Other Materials & Supplies,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1.0,Operating,DPPT0650272701,INDUSTRIAL WIPER,1240.16,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,6,General Administration & Finance,ADM,ADM Gen Svcs Agency-City Admin,FFH,Facilities Mgmt & Operations,540,Materials & Supplies,542,Building & Constructn Supplies,542210,Hardware,1G,General Fund,1GAGF,General Fund,1.0,Operating,DPAD0700052701,MURPHY & SIMI CO,88.54,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,6,General Administration & Finance,REG,REG Elections,FCH,Elections,521,Non Personnel Services,527,Profess & Specialized Svcs,527100,Payments To Poll Workers,1G,General Fund,1GAGF,General Fund,1.0,Operating,Direct Payments,GUANG DU,127.0,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
2007,No,2,"Public Works, Transportation & Commerce",MTA,MTA Municipal Transprtn Agncy,BEN,Rail & Bus Services,540,Materials & Supplies,541,Inventories,541100,Inventories-Purchase,5M,MTA Municipal Railway Funds,5MAAA,Muni Operating Fund,1.0,Operating,DPPT0700161201,ELECTRIC TRANSIT INC,6371.13,0.0,,0.0,2017/12/16 10:14:44 AM,2026/05/25 03:01:24 AM,,,,,
